employee_name,user_id,email,role,business_unit,functional_unit,department,team,supervisor,user,pc
Flynn Malcolm Gibson,FMG0527,Flynn.Malcolm.Gibson@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,FMG0527,PC-4256
Heather Cynthia Leonard,HCL0651,Heather.Cynthia.Leonard@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,HCL0651,PC-4124
Shannon Chantale Price,SCP0130,Shannon.Chantale.Price@dtaa.com,AssemblySupervisor,1,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Delilah Iliana Wilkinson,SCP0130,PC-2057
Castor Mark Wolf,CMW0783,Castor.Mark.Wolf@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,CMW0783,PC-7102
Ryan Kelly Frost,RKF0164,Ryan.Kelly.Frost@dtaa.com,Statistician,1,5 - SalesAndMarketing,1 - MarketAnalysis,,Dacey Jorden Bowen,RKF0164,PC-4418
Damian Omar Le,DOL0332,Damian.Omar.Le@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,DOL0332,PC-1109
Robert Samuel Chen,RSC0089,Robert.Samuel.Chen@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,RSC0089,PC-1397
Cailin Casey Mckee,CCM0136,Cailin.Casey.Mckee@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,CCM0136,PC-3268
Nina Camille Hodges,NCH0179,Nina.Camille.Hodges@dtaa.com,AdministrativeAssistant,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,NCH0179,PC-3695
Nicolas Brandon Hendrix,NBH0256,Nicolas.Brandon.Hendrix@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,NBH0256,PC-5852
Olivia Rose Galloway,ORG0339,Olivia.Rose.Galloway@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,ORG0339,PC-8252
Forrest Rashad Richards,FRR0832,Forrest.Rashad.Richards@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,FRR0832,PC-0751
Miriam Shoshana Donovan,MSD0939,Miriam.Shoshana.Donovan@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,Caleb Mason Ball,MSD0939,PC-3430
Olivia Quynn Hardy,OQH0183,Olivia.Quynn.Hardy@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,OQH0183,PC-6602
Bethany Stephanie Haynes,BSH0445,Bethany.Stephanie.Haynes@dtaa.com,TestEngineer,1,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott,BSH0445,PC-6194
Kennedy Shad Parker,KSP0357,Kennedy.Shad.Parker@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,KSP0357,PC-0004
Nigel Gareth Ochoa,NGO0690,Nigel.Gareth.Ochoa@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,4 - Software,Aurora Tatiana Payne,NGO0690,PC-7031
Vincent Craig Cunningham,VCC0396,Vincent.Craig.Cunningham@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,2 - Software,Jocelyn Bree Mccray,VCC0396,PC-4124
Wesley Dustin Dickerson,WDD0366,Wesley.Dustin.Dickerson@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,WDD0366,PC-0004
Kai Penelope Peck,KPP0452,Kai.Penelope.Peck@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,KPP0452,PC-3989
Raymond Tate Osborne,RTO0313,Raymond.Tate.Osborne@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf,RTO0313,PC-3311
Ariel Bertha Murphy,ABM0845,Ariel.Bertha.Murphy@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,ABM0845,PC-4124
Vance Ira Alston,VIA0063,Vance.Ira.Alston@dtaa.com,Manager,1,2 - ResearchAndEngineering,2 - SoftwareManagement,1 - Software,Todd Vance Spears,VIA0063,PC-2684
Benjamin Ignatius Hooper,BIH0745,Benjamin.Ignatius.Hooper@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,BIH0745,PC-2661
Clinton Coby Wolfe,CCW0031,Clinton.Coby.Wolfe@dtaa.com,Manager,1,1 - Adminstration,6 - Security,1 - BuildingSecurity,Fatima Ulla Mcclure,CCW0031,PC-6286
Illana Yvette Bradshaw,IYB0918,Illana.Yvette.Bradshaw@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,6 - Lab,Lillith Adena Matthews,IYB0918,PC-6119
Orla Ruth Mckenzie,ORM0669,Orla.Ruth.Mckenzie@dtaa.com,Mathematician,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez,ORM0669,PC-4124
Mikayla Jaden Barron,MJB0588,Mikayla.Jaden.Barron@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,MJB0588,PC-6112
Arthur Lucian Bonner,ALB0892,Arthur.Lucian.Bonner@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke,ALB0892,PC-2744
Leah Idola Moran,LIM0674,Leah.Idola.Moran@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez,LIM0674,PC-4124
Lacota Helen Nash,LHN0151,Lacota.Helen.Nash@dtaa.com,Accountant,1,4 - Finance,1 - Accounting,,Cedric Herrod Gilliam,LHN0151,PC-6305
William Theodore Reeves,WTR0563,William.Theodore.Reeves@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,WTR0563,PC-7572
MacKenzie Kristen Stewart,MKS0204,MacKenzie.Kristen.Stewart@dtaa.com,Attorney,1,6 - PurchasingAndContracts,3 - Contracts,,Whoopi Britanney Camacho,MKS0204,PC-5102
Armando Albert Walter,AAW0353,Armando.Albert.Walter@dtaa.com,AssemblySupervisor,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Delilah Iliana Wilkinson,AAW0353,PC-8732
Willow Jaime Daniel,WJD0576,Willow.Jaime.Daniel@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,WJD0576,PC-1532
Irene Lacota Huffman,ILH0958,Irene.Lacota.Huffman@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,ILH0958,PC-1478
Tallulah Liberty Kirby,TLK0993,Tallulah.Liberty.Kirby@dtaa.com,IndustrialEngineer,1,3 - Manufacturing,1 - IndustrialEngineering,,Grant Tyrone Doyle,TLK0993,PC-2064
William Aladdin Bennett,WAB0143,William.Aladdin.Bennett@dtaa.com,Statistician,1,3 - Manufacturing,4 - QualityControl,,Kimberley Kiona Sosa,WAB0143,PC-8014
Rashad Aristotle Guerrero,RAG0275,Rashad.Aristotle.Guerrero@dtaa.com,ElectricalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,Gage Kaden Odonnell,RAG0275,PC-3094
Leilani Quail Callahan,LQC0479,Leilani.Quail.Callahan@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,LQC0479,PC-6380
Kai Wynne Craft,KWC0004,Kai.Wynne.Craft@dtaa.com,VicePresident,1,2 - ResearchAndEngineering,,,Mona Susan Shannon,KWC0004,PC-2017
Cora Jane Kinney,CJK0200,Cora.Jane.Kinney@dtaa.com,PurchasingClerk,1,6 - PurchasingAndContracts,2 - Pricing,,Eugenia Whilemina Harrington,CJK0200,PC-0925
Flynn Edward Brennan,FEB0306,Flynn.Edward.Brennan@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,FEB0306,PC-4124
Indira Jocelyn Mack,IJM0776,Indira.Jocelyn.Mack@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,IJM0776,PC-0198
Nicolas Kadeem Hayden,NKH0807,Nicolas.Kadeem.Hayden@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,5 - Software,Sara Gail George,NKH0807,PC-3000
Jade Maris Coleman,JMC0925,Jade.Maris.Coleman@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,6 - Lab,Lillith Adena Matthews,JMC0925,PC-0514
Stephanie Briar Harrington,SBH0537,Stephanie.Briar.Harrington@dtaa.com,Manager,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Todd Vance Spears,SBH0537,PC-2139
Julie Jaime Burns,JJB0700,Julie.Jaime.Burns@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,JJB0700,PC-1658
Amaya Iola Sawyer,AIS0405,Amaya.Iola.Sawyer@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,2 - Software,Jocelyn Bree Mccray,AIS0405,PC-8105
Hilda Alice Hahn,HAH0760,Hilda.Alice.Hahn@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,HAH0760,PC-1038
Aladdin Hu Day,AHD0848,Aladdin.Hu.Day@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,AHD0848,PC-0004
Lila Dana Mcintyre,LDM0587,Lila.Dana.Mcintyre@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,LDM0587,PC-5012
Armand Jasper Nicholson,AJN0607,Armand.Jasper.Nicholson@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,AJN0607,PC-4124
Bevis Brady Sheppard,BBS0039,Bevis.Brady.Sheppard@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins,BBS0039,PC-0004
Emerald Imani Schmidt,EIS0041,Emerald.Imani.Schmidt@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins,EIS0041,PC-0004
Melodie Lee Glenn,MLG0475,Melodie.Lee.Glenn@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,MLG0475,PC-7399
Hadley Rhona Dillon,HRD0635,Hadley.Rhona.Dillon@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,HRD0635,PC-1809
Ethan Perry Wiggins,EPW0434,Ethan.Perry.Wiggins@dtaa.com,TestEngineer,1,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott,EPW0434,PC-4560
Jena Audrey Malone,JAM0382,Jena.Audrey.Malone@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,2 - Lab,Kim Dara Sullivan,JAM0382,PC-1805
Noble Clinton Klein,NCK0295,Noble.Clinton.Klein@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,NCK0295,PC-4895
Luke Jacob Talley,LJT0817,Luke.Jacob.Talley@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,2 - SoftwareManagement,5 - Software,Sara Gail George,LJT0817,PC-3120
Chandler Ashton Madden,CAM0102,Chandler.Ashton.Madden@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,Gage Kaden Odonnell,CAM0102,PC-6247
Suki Ori Grant,SOG0411,Suki.Ori.Grant@dtaa.com,SystemsEngineer,1,2 - ResearchAndEngineering,3 - Engineering,6 - SystemsEngineering,Hadassah Riley Baker,SOG0411,PC-9390
Kameko Signe Harrison,KSH0569,Kameko.Signe.Harrison@dtaa.com,SoftwareEngineer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,KSH0569,PC-1395
Bruno Donovan Ingram,BDI0533,Bruno.Donovan.Ingram@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,BDI0533,PC-4124
Paula Madaline Jackson,PMJ0564,Paula.Madaline.Jackson@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,PMJ0564,PC-0741
Hedda Grace Gordon,HGG0240,Hedda.Grace.Gordon@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,2 - SoftwareManagement,1 - Software,Vance Ira Alston,HGG0240,PC-1108
Mari Gretchen Shaw,MGS0974,Mari.Gretchen.Shaw@dtaa.com,HumanResourceSpecialist,1,1 - Adminstration,1 - Personnel,,Bethany Xerxes Johnson,MGS0974,PC-0351
Dominic Howard Mcconnell,DHM0937,Dominic.Howard.Mcconnell@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,Caleb Mason Ball,DHM0937,PC-7941
Evelyn Nevada Curtis,ENC0234,Evelyn.Nevada.Curtis@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,1 - Lab,Jackson Linus Wilkerson,ENC0234,PC-4124
Colin Evan Brown,CEB0210,Colin.Evan.Brown@dtaa.com,SecurityGuard,1,1 - Adminstration,6 - Security,1 - BuildingSecurity,Clinton Coby Wolfe,CEB0210,PC-8793
Yvette Jeanette Vang,YJV0699,Yvette.Jeanette.Vang@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,YJV0699,PC-5329
Brittany Mona Terry,BMT0528,Brittany.Mona.Terry@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,BMT0528,PC-0202
Caleb Jonas Chang,CJC0494,Caleb.Jonas.Chang@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,CJC0494,PC-0072
Sean Omar Burgess,SOB0360,Sean.Omar.Burgess@dtaa.com,ITAdmin,1,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,SOB0360,PC-0004
Glenna Caryn Sharpe,GCS0571,Glenna.Caryn.Sharpe@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,GCS0571,PC-4124
Beck John Peters,BJP0134,Beck.John.Peters@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,BJP0134,PC-0898
Kirby Bo Pollard,KBP0008,Kirby.Bo.Pollard@dtaa.com,VicePresident,1,6 - PurchasingAndContracts,,,Mona Susan Shannon,KBP0008,PC-3851
Fitzgerald Len Merrill,FLM0213,Fitzgerald.Len.Merrill@dtaa.com,SecurityGuard,1,1 - Adminstration,6 - Security,1 - BuildingSecurity,Clinton Coby Wolfe,FLM0213,PC-8453
Rhonda Rhona Parsons,RRP0568,Rhonda.Rhona.Parsons@dtaa.com,ComputerScientist,1,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,RRP0568,PC-3735
Maxwell Clark Faulkner,MCF0600,Maxwell.Clark.Faulkner@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,MCF0600,PC-4124
Shelly Audra Ayala,SAA0999,Shelly.Audra.Ayala@dtaa.com,ElectricalEngineer,1,3 - Manufacturing,2 - ManufacturingEngineering,,Fritz Dale Ellison,SAA0999,PC-4124
Teagan Hedy Romero,THR0873,Teagan.Hedy.Romero@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,THR0873,PC-4124
Kimberley Roary Maldonado,KRM0541,Kimberley.Roary.Maldonado@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,3 - Lab,Honorato Ivan Wall,KRM0541,PC-0461
Kenneth Steel Porter,KSP0966,Kenneth.Steel.Porter@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,KSP0966,PC-6985
Lionel Omar Fisher,LOF0311,Lionel.Omar.Fisher@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf,LOF0311,PC-6105
Montana Basia Roberts,MBR0724,Montana.Basia.Roberts@dtaa.com,ProductionLineWorker,1,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,MBR0724,PC-8724
Felicia Sloane Cabrera,FSC0601,Felicia.Sloane.Cabrera@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,FSC0601,PC-4124
Medge Liberty Petersen,MLP0668,Medge.Liberty.Petersen@dtaa.com,Mathematician,1,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez,MLP0668,PC-0772
Charity Uta Daniels,CUD0795,Charity.Uta.Daniels@dtaa.com,Physicist,1,2 - ResearchAndEngineering,1 - Research,5 - Lab,Sasha Britanney Quinn,CUD0795,PC-7779
Aurora Katell Rhodes,AKR0057,Aurora.Katell.Rhodes@dtaa.com,AdministrativeAssistant,1,2 - ResearchAndEngineering,1 - Research,1 - Lab,Jackson Linus Wilkerson,AKR0057,PC-0044
Guy Zeus Chandler,GZC0735,Guy.Zeus.Chandler@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,GZC0735,PC-4124
Hadassah Leah Harris,HLH0512,Hadassah.Leah.Harris@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,HLH0512,PC-1611
Norman Jackson Beck,NJB0243,Norman.Jackson.Beck@dtaa.com,MechanicalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,1 - MechanicalEngineering,Harper Price Harris,NJB0243,PC-3752
Gregory Curran Sutton,GCS0518,Gregory.Curran.Sutton@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,GCS0518,PC-2125
Nicole Macey Craig,NMC0486,Nicole.Macey.Craig@dtaa.com,Salesman,1,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,NMC0486,PC-4455
Keegan Marvin Benson,KMB0922,Keegan.Marvin.Benson@dtaa.com,Scientist,1,2 - ResearchAndEngineering,1 - Research,6 - Lab,Lillith Adena Matthews,KMB0922,PC-1289
Cecilia Freya Morgan,CFM0767,Cecilia.Freya.Morgan@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,CFM0767,PC-2173
Holmes Arden Day,HAD0246,Holmes.Arden.Day@dtaa.com,MechanicalEngineer,1,2 - ResearchAndEngineering,3 - Engineering,1 - MechanicalEngineering,Harper Price Harris,HAD0246,PC-0926
Alexa Nadine Poole,ANP0555,Alexa.Nadine.Poole@dtaa.com,Mathematician,1,2 - ResearchAndEngineering,1 - Research,3 - Lab,Honorato Ivan Wall,ANP0555,PC-6173
Leslie Briar Fields,LBF0214,Leslie.Briar.Fields@dtaa.com,SecurityGuard,1,1 - Adminstration,6 - Security,1 - BuildingSecurity,Clinton Coby Wolfe,LBF0214,PC-3819
Dacey Jorden Bowen,DJB0159,Dacey.Jorden.Bowen@dtaa.com,Director,1,5 - SalesAndMarketing,1 - MarketAnalysis,,Hyatt Trevor Hayes,DJB0159,PC-3907
Baxter William Price,BWP0202,Baxter.William.Price@dtaa.com,Attorney,1,6 - PurchasingAndContracts,3 - Contracts,,Whoopi Britanney Camacho,BWP0202,PC-4124
Flavia Fiona Cannon,FFC0891,Flavia.Fiona.Cannon@dtaa.com,Technician,1,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke,FFC0891,PC-4124
Amal Judah Rich,AJR0932,Amal.Judah.Rich@dtaa.com,ComputerProgrammer,1,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,Caleb Mason Ball,AJR0932,PC-4748
